Timestamp,Satellite 1,Satellite 2,Distance (m)
2025-07-26T17:14:51Z,STARLINK-5619,STARLINK-5593,3410.22
2025-07-26T17:18:01Z,STARLINK-33790,STARLINK-34024,4831.74
2025-07-26T17:18:15Z,STARLINK-34492,STARLINK-34375,4171.69
2025-07-26T17:18:20Z,STARLINK-34185,STARLINK-34592,728.82
2025-07-26T17:24:04Z,STARLINK-4411,STARLINK-4410,2104.17
2025-07-26T17:24:51Z,STARLINK-5619,STARLINK-5593,3459.52
2025-07-26T17:28:01Z,STARLINK-33790,STARLINK-34024,3093.20
2025-07-26T17:28:15Z,STARLINK-34492,STARLINK-34375,4216.00
2025-07-26T17:28:20Z,STARLINK-34185,STARLINK-34592,969.77
2025-07-26T17:34:04Z,STARLINK-4411,STARLINK-4410,2364.88
2025-07-26T17:34:51Z,STARLINK-5619,STARLINK-5593,3589.51
2025-07-26T17:38:01Z,STARLINK-33790,STARLINK-34024,2869.36
2025-07-26T17:38:15Z,STARLINK-34492,STARLINK-34375,4452.52
2025-07-26T17:38:20Z,STARLINK-34185,STARLINK-34592,950.54
2025-07-26T17:44:04Z,STARLINK-4411,STARLINK-4410,2490.53
2025-07-26T17:44:51Z,STARLINK-5619,STARLINK-5593,3710.75
2025-07-26T17:47:30Z,STARLINK-32842,STARLINK-32704,3325.02
2025-07-26T17:48:01Z,STARLINK-33790,STARLINK-34024,4175.38
2025-07-26T17:48:20Z,STARLINK-34185,STARLINK-34592,805.80
2025-07-26T17:54:04Z,STARLINK-4411,STARLINK-4410,2407.09
2025-07-26T17:54:51Z,STARLINK-5619,STARLINK-5593,3791.80
2025-07-26T17:57:30Z,STARLINK-32842,STARLINK-32704,2308.65
2025-07-26T17:58:20Z,STARLINK-34185,STARLINK-34592,1161.31
2025-07-26T18:04:04Z,STARLINK-4411,STARLINK-4410,2156.35
2025-07-26T18:04:51Z,STARLINK-5619,STARLINK-5593,3886.24
2025-07-26T18:07:30Z,STARLINK-32842,STARLINK-32704,3113.08
2025-07-26T18:08:20Z,STARLINK-34185,STARLINK-34592,1921.55
2025-07-26T18:14:04Z,STARLINK-4411,STARLINK-4410,1922.19
2025-07-26T18:14:51Z,STARLINK-5619,STARLINK-5593,4024.15
2025-07-26T18:17:30Z,STARLINK-32842,STARLINK-32704,4833.01
2025-07-26T18:18:20Z,STARLINK-34185,STARLINK-34592,2544.01
2025-07-26T18:24:04Z,STARLINK-4411,STARLINK-4410,1905.57
2025-07-26T18:24:51Z,STARLINK-5619,STARLINK-5593,4141.67
2025-07-26T18:28:19Z,STARLINK-34548,STARLINK-34558,4824.96
2025-07-26T18:28:20Z,STARLINK-34185,STARLINK-34592,2782.71
2025-07-26T18:34:04Z,STARLINK-4411,STARLINK-4410,2133.18
2025-07-26T18:34:51Z,STARLINK-5619,STARLINK-5593,4159.22
2025-07-26T18:38:19Z,STARLINK-34548,STARLINK-34558,4328.76
2025-07-26T18:38:20Z,STARLINK-34185,STARLINK-34592,2605.47
2025-07-26T18:44:04Z,STARLINK-4411,STARLINK-4410,2476.00
2025-07-26T18:44:51Z,STARLINK-5619,STARLINK-5593,4102.74
2025-07-26T18:48:19Z,STARLINK-34548,STARLINK-34558,3726.70
2025-07-26T18:48:20Z,STARLINK-34185,STARLINK-34592,2151.10
2025-07-26T18:54:04Z,STARLINK-4411,STARLINK-4410,2826.39
2025-07-26T18:54:51Z,STARLINK-5619,STARLINK-5593,4087.03
2025-07-26T18:58:19Z,STARLINK-34548,STARLINK-34558,2965.71
2025-07-26T18:58:20Z,STARLINK-34185,STARLINK-34592,1731.42
2025-07-26T19:04:04Z,STARLINK-4411,STARLINK-4410,3136.93
2025-07-26T19:04:51Z,STARLINK-5619,STARLINK-5593,4174.98
2025-07-26T19:08:19Z,STARLINK-34548,STARLINK-34558,2075.70
2025-07-26T19:08:20Z,STARLINK-34185,STARLINK-34592,1750.45
2025-07-26T19:14:04Z,STARLINK-4411,STARLINK-4410,3356.00
2025-07-26T19:14:51Z,STARLINK-5619,STARLINK-5593,4310.97
2025-07-26T19:18:19Z,STARLINK-34548,STARLINK-34558,1244.49
2025-07-26T19:18:20Z,STARLINK-34185,STARLINK-34592,2361.87
2025-07-26T19:24:04Z,STARLINK-4411,STARLINK-4410,3399.70
2025-07-26T19:24:51Z,STARLINK-5619,STARLINK-5593,4414.65
2025-07-26T19:28:19Z,STARLINK-34548,STARLINK-34558,841.01
2025-07-26T19:28:20Z,STARLINK-34185,STARLINK-34592,3338.29
2025-07-26T19:34:04Z,STARLINK-4411,STARLINK-4410,3233.20
2025-07-26T19:34:51Z,STARLINK-5619,STARLINK-5593,4492.82
2025-07-26T19:38:19Z,STARLINK-34548,STARLINK-34558,1075.76
2025-07-26T19:38:20Z,STARLINK-34185,STARLINK-34592,4353.45
2025-07-26T19:44:04Z,STARLINK-4411,STARLINK-4410,2966.79
2025-07-26T19:44:51Z,STARLINK-5619,STARLINK-5593,4605.29
2025-07-26T19:48:19Z,STARLINK-34548,STARLINK-34558,1488.78
2025-07-26T19:54:04Z,STARLINK-4411,STARLINK-4410,2807.52
2025-07-26T19:54:51Z,STARLINK-5619,STARLINK-5593,4747.32
2025-07-26T19:58:19Z,STARLINK-34548,STARLINK-34558,1887.67
2025-07-26T20:04:04Z,STARLINK-4411,STARLINK-4410,2891.15
2025-07-26T20:04:51Z,STARLINK-5619,STARLINK-5593,4832.93
2025-07-26T20:08:19Z,STARLINK-34548,STARLINK-34558,2338.45
2025-07-26T20:14:04Z,STARLINK-4411,STARLINK-4410,3176.59
2025-07-26T20:14:51Z,STARLINK-5619,STARLINK-5593,4812.05
2025-07-26T20:18:19Z,STARLINK-34548,STARLINK-34558,2959.20
2025-07-26T20:18:20Z,STARLINK-34185,STARLINK-34592,4885.14
2025-07-26T20:24:04Z,STARLINK-4411,STARLINK-4410,3534.43
2025-07-26T20:24:51Z,STARLINK-5619,STARLINK-5593,4757.18
2025-07-26T20:28:19Z,STARLINK-34548,STARLINK-34558,3796.90
2025-07-26T20:28:20Z,STARLINK-34185,STARLINK-34592,4434.29
2025-07-26T20:34:04Z,STARLINK-4411,STARLINK-4410,3876.87
2025-07-26T20:34:51Z,STARLINK-5619,STARLINK-5593,4780.82
2025-07-26T20:38:19Z,STARLINK-34548,STARLINK-34558,4773.69
2025-07-26T20:38:20Z,STARLINK-34185,STARLINK-34592,4352.10
2025-07-26T20:44:04Z,STARLINK-4411,STARLINK-4410,4161.21
2025-07-26T20:44:51Z,STARLINK-5619,STARLINK-5593,4898.87
2025-07-26T20:48:20Z,STARLINK-34185,STARLINK-34592,4848.35
2025-07-26T20:54:04Z,STARLINK-4411,STARLINK-4410,4321.92
2025-07-26T21:04:04Z,STARLINK-4411,STARLINK-4410,4278.62
2025-07-26T21:14:04Z,STARLINK-4411,STARLINK-4410,4049.40
2025-07-26T21:24:04Z,STARLINK-4411,STARLINK-4410,3802.78
2025-07-26T21:34:04Z,STARLINK-4411,STARLINK-4410,3735.87
2025-07-26T21:44:04Z,STARLINK-4411,STARLINK-4410,3912.74
2025-07-26T21:54:04Z,STARLINK-4411,STARLINK-4410,4241.53
2025-07-26T22:04:04Z,STARLINK-4411,STARLINK-4410,4598.74
2025-07-26T22:14:04Z,STARLINK-4411,STARLINK-4410,4921.77
2025-07-26T22:54:04Z,STARLINK-4411,STARLINK-4410,4864.50
2025-07-26T23:04:04Z,STARLINK-4411,STARLINK-4410,4671.64
2025-07-26T23:14:04Z,STARLINK-4411,STARLINK-4410,4707.56
2025-07-26T23:18:07Z,STARLINK-34318,STARLINK-34337,3604.34
2025-07-26T23:24:04Z,STARLINK-4411,STARLINK-4410,4963.18
2025-07-26T23:28:07Z,STARLINK-34318,STARLINK-34337,4598.16
2025-07-27T01:14:00Z,STARLINK-4320,STARLINK-4309,4152.20
2025-07-27T01:18:03Z,STARLINK-33970,STARLINK-34145,4966.35
2025-07-27T01:24:00Z,STARLINK-4320,STARLINK-4309,4384.79
2025-07-27T01:28:03Z,STARLINK-33970,STARLINK-34145,4804.47
2025-07-27T01:38:03Z,STARLINK-33970,STARLINK-34145,4655.18
2025-07-27T01:48:03Z,STARLINK-33970,STARLINK-34145,4549.87
2025-07-27T01:58:03Z,STARLINK-33970,STARLINK-34145,4503.21
2025-07-27T02:08:03Z,STARLINK-33970,STARLINK-34145,4472.36
2025-07-27T02:18:03Z,STARLINK-33970,STARLINK-34145,4388.31
2025-07-27T02:28:03Z,STARLINK-33970,STARLINK-34145,4229.47
2025-07-27T02:38:03Z,STARLINK-33970,STARLINK-34145,4036.51
2025-07-27T02:48:03Z,STARLINK-33970,STARLINK-34145,3852.33
2025-07-27T02:58:03Z,STARLINK-33970,STARLINK-34145,3684.51
2025-07-27T03:08:03Z,STARLINK-33970,STARLINK-34145,3531.28
2025-07-27T03:18:03Z,STARLINK-33970,STARLINK-34145,3412.56
2025-07-27T03:28:03Z,STARLINK-33970,STARLINK-34145,3347.71
2025-07-27T03:38:03Z,STARLINK-33970,STARLINK-34145,3313.91
2025-07-27T03:48:03Z,STARLINK-33970,STARLINK-34145,3251.02
2025-07-27T03:58:03Z,STARLINK-33970,STARLINK-34145,3118.94
2025-07-27T04:04:00Z,STARLINK-4252,STARLINK-4313,4289.65
2025-07-27T04:08:03Z,STARLINK-33970,STARLINK-34145,2935.75
2025-07-27T04:14:00Z,STARLINK-4252,STARLINK-4313,2767.65
2025-07-27T04:18:03Z,STARLINK-33970,STARLINK-34145,2744.70
2025-07-27T04:24:00Z,STARLINK-4252,STARLINK-4313,1842.02
2025-07-27T04:28:03Z,STARLINK-33970,STARLINK-34145,2568.28
2025-07-27T04:34:00Z,STARLINK-4252,STARLINK-4313,1579.76
2025-07-27T04:38:01Z,STARLINK-34046,STARLINK-34089,4814.44
2025-07-27T04:38:03Z,STARLINK-33970,STARLINK-34145,2409.80
2025-07-27T04:44:00Z,STARLINK-4252,STARLINK-4313,1602.41
2025-07-27T04:48:01Z,STARLINK-34046,STARLINK-34089,4488.09
2025-07-27T04:48:03Z,STARLINK-33970,STARLINK-34145,2280.69
2025-07-27T04:54:00Z,STARLINK-4252,STARLINK-4313,1495.10
2025-07-27T04:58:03Z,STARLINK-33970,STARLINK-34145,2198.92
2025-07-27T05:04:00Z,STARLINK-4252,STARLINK-4313,1713.24
2025-07-27T05:08:03Z,STARLINK-33970,STARLINK-34145,2156.53
2025-07-27T05:14:00Z,STARLINK-4252,STARLINK-4313,3009.24
2025-07-27T05:18:03Z,STARLINK-33970,STARLINK-34145,2107.01
2025-07-27T05:24:00Z,STARLINK-4252,STARLINK-4313,4961.05
2025-07-27T05:28:03Z,STARLINK-33970,STARLINK-34145,2001.57
2025-07-27T05:38:03Z,STARLINK-33970,STARLINK-34145,1835.64
2025-07-27T05:48:03Z,STARLINK-33970,STARLINK-34145,1644.22
2025-07-27T05:58:03Z,STARLINK-33970,STARLINK-34145,1460.76
2025-07-27T06:08:03Z,STARLINK-33970,STARLINK-34145,1297.24
2025-07-27T06:18:03Z,STARLINK-33970,STARLINK-34145,1158.50
2025-07-27T06:28:03Z,STARLINK-33970,STARLINK-34145,1058.24
2025-07-27T06:37:58Z,STARLINK-34020,STARLINK-33993,4857.01
2025-07-27T06:38:03Z,STARLINK-33970,STARLINK-34145,1003.46
2025-07-27T06:48:03Z,STARLINK-33970,STARLINK-34145,964.59
2025-07-27T06:58:03Z,STARLINK-33970,STARLINK-34145,887.92
2025-07-27T07:08:03Z,STARLINK-33970,STARLINK-34145,746.31
2025-07-27T07:18:03Z,STARLINK-33970,STARLINK-34145,563.81
2025-07-27T07:28:03Z,STARLINK-33970,STARLINK-34145,397.94
2025-07-27T07:38:03Z,STARLINK-33970,STARLINK-34145,297.21
2025-07-27T07:48:03Z,STARLINK-33970,STARLINK-34145,238.37
2025-07-27T07:58:03Z,STARLINK-33970,STARLINK-34145,175.59
2025-07-27T08:08:03Z,STARLINK-33970,STARLINK-34145,169.61
2025-07-27T08:18:03Z,STARLINK-33970,STARLINK-34145,264.30
2025-07-27T08:28:03Z,STARLINK-33970,STARLINK-34145,371.41
2025-07-27T08:38:03Z,STARLINK-33970,STARLINK-34145,471.89
2025-07-27T08:48:03Z,STARLINK-33970,STARLINK-34145,606.70
2025-07-27T08:58:03Z,STARLINK-33970,STARLINK-34145,795.43
2025-07-27T09:08:03Z,STARLINK-33970,STARLINK-34145,997.91
2025-07-27T09:14:00Z,STARLINK-4320,STARLINK-4342,4843.02
2025-07-27T09:17:37Z,STARLINK-32839,STARLINK-32821,4726.15
2025-07-27T09:18:03Z,STARLINK-33970,STARLINK-34145,1155.87
2025-07-27T09:24:00Z,STARLINK-4320,STARLINK-4342,3252.39
2025-07-27T09:27:37Z,STARLINK-32839,STARLINK-32821,4618.72
2025-07-27T09:28:03Z,STARLINK-33970,STARLINK-34145,1247.07
2025-07-27T09:34:00Z,STARLINK-4320,STARLINK-4342,3714.33
2025-07-27T09:37:37Z,STARLINK-32839,STARLINK-32821,4840.88
2025-07-27T09:38:03Z,STARLINK-33970,STARLINK-34145,1301.24
2025-07-27T09:44:00Z,STARLINK-4320,STARLINK-4342,4824.71
2025-07-27T09:48:03Z,STARLINK-33970,STARLINK-34145,1362.45
2025-07-27T09:58:03Z,STARLINK-33970,STARLINK-34145,1448.37
2025-07-27T10:08:03Z,STARLINK-33970,STARLINK-34145,1556.96
2025-07-27T10:18:03Z,STARLINK-33970,STARLINK-34145,1696.40
2025-07-27T10:28:03Z,STARLINK-33970,STARLINK-34145,1879.52
2025-07-27T10:38:03Z,STARLINK-33970,STARLINK-34145,2088.52
2025-07-27T10:47:37Z,STARLINK-32839,STARLINK-32821,4419.92
2025-07-27T10:48:03Z,STARLINK-33970,STARLINK-34145,2270.50
2025-07-27T10:57:37Z,STARLINK-32839,STARLINK-32821,4086.33
2025-07-27T10:58:03Z,STARLINK-33970,STARLINK-34145,2385.17
2025-07-27T11:07:37Z,STARLINK-32839,STARLINK-32821,4116.86
2025-07-27T11:08:03Z,STARLINK-33970,STARLINK-34145,2447.62
2025-07-27T11:17:37Z,STARLINK-32839,STARLINK-32821,4431.03
2025-07-27T11:18:03Z,STARLINK-33970,STARLINK-34145,2504.98
2025-07-27T11:27:37Z,STARLINK-32839,STARLINK-32821,4862.19
2025-07-27T11:28:03Z,STARLINK-33970,STARLINK-34145,2584.76
2025-07-27T11:38:03Z,STARLINK-33970,STARLINK-34145,2685.66
2025-07-27T11:48:03Z,STARLINK-33970,STARLINK-34145,2810.25
2025-07-27T11:58:03Z,STARLINK-33970,STARLINK-34145,2977.00
2025-07-27T12:07:37Z,STARLINK-32839,STARLINK-32821,4853.08
2025-07-27T12:08:03Z,STARLINK-33970,STARLINK-34145,3184.79
2025-07-27T12:16:36Z,STARLINK-31887,STARLINK-31925,4675.08
2025-07-27T12:17:37Z,STARLINK-32839,STARLINK-32821,4217.50
2025-07-27T12:18:03Z,STARLINK-33970,STARLINK-34145,3386.32
2025-07-27T12:26:36Z,STARLINK-31887,STARLINK-31925,3832.07
2025-07-27T12:27:37Z,STARLINK-32839,STARLINK-32821,3698.21
2025-07-27T12:28:03Z,STARLINK-33970,STARLINK-34145,3524.33
2025-07-27T12:36:36Z,STARLINK-31887,STARLINK-31925,3073.71
2025-07-27T12:37:37Z,STARLINK-32839,STARLINK-32821,3501.76
2025-07-27T12:38:03Z,STARLINK-33970,STARLINK-34145,3595.53
2025-07-27T12:46:36Z,STARLINK-31887,STARLINK-31925,2383.79
2025-07-27T12:47:37Z,STARLINK-32839,STARLINK-32821,3659.41
2025-07-27T12:48:03Z,STARLINK-33970,STARLINK-34145,3649.23
2025-07-27T12:56:36Z,STARLINK-31887,STARLINK-31925,1725.69
2025-07-27T12:57:37Z,STARLINK-32839,STARLINK-32821,4040.96
2025-07-27T12:58:03Z,STARLINK-33970,STARLINK-34145,3725.16
2025-07-27T13:06:36Z,STARLINK-31887,STARLINK-31925,1141.52
2025-07-27T13:07:37Z,STARLINK-32839,STARLINK-32821,4474.86
2025-07-27T13:08:03Z,STARLINK-33970,STARLINK-34145,3823.01
2025-07-27T13:16:36Z,STARLINK-31887,STARLINK-31925,959.47
2025-07-27T13:17:37Z,STARLINK-32839,STARLINK-32821,4808.87
2025-07-27T13:18:03Z,STARLINK-33970,STARLINK-34145,3935.46
2025-07-27T13:26:36Z,STARLINK-31887,STARLINK-31925,1462.83
2025-07-27T13:27:37Z,STARLINK-32839,STARLINK-32821,4892.92
2025-07-27T13:28:03Z,STARLINK-33970,STARLINK-34145,4081.88
2025-07-27T13:36:36Z,STARLINK-31887,STARLINK-31925,2258.42
2025-07-27T13:37:37Z,STARLINK-32839,STARLINK-32821,4622.34
2025-07-27T13:38:03Z,STARLINK-33970,STARLINK-34145,4279.61
2025-07-27T13:46:36Z,STARLINK-31887,STARLINK-31925,3096.00
2025-07-27T13:47:37Z,STARLINK-32839,STARLINK-32821,4059.21
2025-07-27T13:48:03Z,STARLINK-33970,STARLINK-34145,4495.39
2025-07-27T13:56:36Z,STARLINK-31887,STARLINK-31925,3893.42
2025-07-27T13:57:37Z,STARLINK-32839,STARLINK-32821,3438.80
2025-07-27T13:58:03Z,STARLINK-33970,STARLINK-34145,4659.99
2025-07-27T14:06:36Z,STARLINK-31887,STARLINK-31925,4651.82
2025-07-27T14:07:37Z,STARLINK-32839,STARLINK-32821,3025.69
2025-07-27T14:08:03Z,STARLINK-33970,STARLINK-34145,4745.04
2025-07-27T14:17:37Z,STARLINK-32839,STARLINK-32821,2972.24
2025-07-27T14:18:03Z,STARLINK-33970,STARLINK-34145,4795.01
2025-07-27T14:27:37Z,STARLINK-32839,STARLINK-32821,3238.43
2025-07-27T14:28:03Z,STARLINK-33970,STARLINK-34145,4865.00
2025-07-27T14:37:37Z,STARLINK-32839,STARLINK-32821,3660.67
2025-07-27T14:38:03Z,STARLINK-33970,STARLINK-34145,4962.59
2025-07-27T14:47:37Z,STARLINK-32839,STARLINK-32821,4072.42
2025-07-27T14:57:37Z,STARLINK-32839,STARLINK-32821,4324.14
2025-07-27T15:07:37Z,STARLINK-32839,STARLINK-32821,4274.94
2025-07-27T15:17:37Z,STARLINK-32839,STARLINK-32821,3875.33
2025-07-27T15:27:37Z,STARLINK-32839,STARLINK-32821,3261.76
2025-07-27T15:37:37Z,STARLINK-32839,STARLINK-32821,2693.39
2025-07-27T15:47:37Z,STARLINK-32839,STARLINK-32821,2408.58
