Timestamp,Satellite 1,Satellite 2,Distance (m),Relative Velocity (m/s)
2025-07-27 06:58:03+00:00,STARLINK-33970,STARLINK-34145,887.92,0.95
2025-07-27 07:08:03+00:00,STARLINK-33970,STARLINK-34145,746.31,0.83
2025-07-27 07:18:03+00:00,STARLINK-33970,STARLINK-34145,563.81,0.70
2025-07-27 07:28:03+00:00,STARLINK-33970,STARLINK-34145,397.94,0.55
2025-07-27 07:38:03+00:00,STARLINK-33970,STARLINK-34145,297.21,0.36
2025-07-27 07:48:03+00:00,STARLINK-33970,STARLINK-34145,238.37,0.16
2025-07-27 07:58:03+00:00,STARLINK-33970,STARLINK-34145,175.59,0.16
2025-07-27 08:08:03+00:00,STARLINK-33970,STARLINK-34145,169.61,0.27
2025-07-27 08:18:03+00:00,STARLINK-33970,STARLINK-34145,264.30,0.32
2025-07-27 08:28:03+00:00,STARLINK-33970,STARLINK-34145,371.41,0.36
2025-07-27 08:38:03+00:00,STARLINK-33970,STARLINK-34145,471.89,0.48
2025-07-27 08:48:03+00:00,STARLINK-33970,STARLINK-34145,606.70,0.66
2025-07-27 08:58:03+00:00,STARLINK-33970,STARLINK-34145,795.43,0.84
2025-07-27 09:08:03+00:00,STARLINK-33970,STARLINK-34145,997.91,1.00
2025-07-27 09:14:00+00:00,STARLINK-4320,STARLINK-4342,4843.02,6.69
2025-07-27 09:17:37+00:00,STARLINK-32821,STARLINK-32839,4726.15,6.03
2025-07-27 09:18:03+00:00,STARLINK-33970,STARLINK-34145,1155.87,1.15
2025-07-27 09:24:00+00:00,STARLINK-4320,STARLINK-4342,3252.39,3.32
2025-07-27 09:27:37+00:00,STARLINK-32821,STARLINK-32839,4618.72,5.83
2025-07-27 09:28:03+00:00,STARLINK-33970,STARLINK-34145,1247.07,1.30
2025-07-27 09:34:00+00:00,STARLINK-4320,STARLINK-4342,3714.33,1.39
2025-07-27 09:37:37+00:00,STARLINK-32821,STARLINK-32839,4840.88,5.82
2025-07-27 09:38:03+00:00,STARLINK-33970,STARLINK-34145,1301.24,1.43
2025-07-27 09:44:00+00:00,STARLINK-4320,STARLINK-4342,4824.71,3.46
2025-07-27 09:48:03+00:00,STARLINK-33970,STARLINK-34145,1362.45,1.54
2025-07-27 09:58:03+00:00,STARLINK-33970,STARLINK-34145,1448.37,1.64
2025-07-27 10:08:03+00:00,STARLINK-33970,STARLINK-34145,1556.96,1.75
2025-07-27 10:18:03+00:00,STARLINK-33970,STARLINK-34145,1696.40,1.90
2025-07-27 10:28:03+00:00,STARLINK-33970,STARLINK-34145,1879.52,2.08
2025-07-27 10:38:03+00:00,STARLINK-33970,STARLINK-34145,2088.52,2.26
2025-07-27 10:47:37+00:00,STARLINK-32821,STARLINK-32839,4419.92,5.60
2025-07-27 10:48:03+00:00,STARLINK-33970,STARLINK-34145,2270.50,2.43
2025-07-27 10:57:37+00:00,STARLINK-32821,STARLINK-32839,4086.33,5.30
2025-07-27 10:58:03+00:00,STARLINK-33970,STARLINK-34145,2385.17,2.58
2025-07-27 11:07:37+00:00,STARLINK-32821,STARLINK-32839,4116.86,5.17
2025-07-27 11:08:03+00:00,STARLINK-33970,STARLINK-34145,2447.62,2.70
2025-07-27 11:17:37+00:00,STARLINK-32821,STARLINK-32839,4431.03,5.23
2025-07-27 11:18:03+00:00,STARLINK-33970,STARLINK-34145,2504.98,2.81
2025-07-27 11:27:37+00:00,STARLINK-32821,STARLINK-32839,4862.19,5.42
2025-07-27 11:28:03+00:00,STARLINK-33970,STARLINK-34145,2584.76,2.92
2025-07-27 11:38:03+00:00,STARLINK-33970,STARLINK-34145,2685.66,3.04
2025-07-27 11:48:03+00:00,STARLINK-33970,STARLINK-34145,2810.25,3.18
2025-07-27 11:58:03+00:00,STARLINK-33970,STARLINK-34145,2977.00,3.34
2025-07-27 12:07:37+00:00,STARLINK-32821,STARLINK-32839,4853.08,5.52
2025-07-27 12:08:03+00:00,STARLINK-33970,STARLINK-34145,3184.79,3.52
2025-07-27 12:16:36+00:00,STARLINK-31887,STARLINK-31925,4675.08,5.73
2025-07-27 12:17:37+00:00,STARLINK-32821,STARLINK-32839,4217.50,5.19
2025-07-27 12:18:03+00:00,STARLINK-33970,STARLINK-34145,3386.32,3.70
2025-07-27 12:26:36+00:00,STARLINK-31887,STARLINK-31925,3832.07,4.78
2025-07-27 12:27:37+00:00,STARLINK-32821,STARLINK-32839,3698.21,4.84
2025-07-27 12:28:03+00:00,STARLINK-33970,STARLINK-34145,3524.33,3.86
2025-07-27 12:36:36+00:00,STARLINK-31887,STARLINK-31925,3073.71,3.87
2025-07-27 12:37:37+00:00,STARLINK-32821,STARLINK-32839,3501.76,4.59
2025-07-27 12:38:03+00:00,STARLINK-33970,STARLINK-34145,3595.53,3.99
2025-07-27 12:46:36+00:00,STARLINK-31887,STARLINK-31925,2383.79,2.98
2025-07-27 12:47:37+00:00,STARLINK-32821,STARLINK-32839,3659.41,4.53
2025-07-27 12:48:03+00:00,STARLINK-33970,STARLINK-34145,3649.23,4.10
2025-07-27 12:56:36+00:00,STARLINK-31887,STARLINK-31925,1725.69,2.10
2025-07-27 12:57:37+00:00,STARLINK-32821,STARLINK-32839,4040.96,4.66
2025-07-27 12:58:03+00:00,STARLINK-33970,STARLINK-34145,3725.16,4.21
2025-07-27 13:06:36+00:00,STARLINK-31887,STARLINK-31925,1141.52,1.23
2025-07-27 13:07:37+00:00,STARLINK-32821,STARLINK-32839,4474.86,4.88
2025-07-27 13:08:03+00:00,STARLINK-33970,STARLINK-34145,3823.01,4.33
2025-07-27 13:16:36+00:00,STARLINK-31887,STARLINK-31925,959.47,0.61
2025-07-27 13:17:37+00:00,STARLINK-32821,STARLINK-32839,4808.87,5.06
2025-07-27 13:18:03+00:00,STARLINK-33970,STARLINK-34145,3935.46,4.46
2025-07-27 13:26:36+00:00,STARLINK-31887,STARLINK-31925,1462.83,0.99
2025-07-27 13:27:37+00:00,STARLINK-32821,STARLINK-32839,4892.92,5.13
2025-07-27 13:28:03+00:00,STARLINK-33970,STARLINK-34145,4081.88,4.61
2025-07-27 13:36:36+00:00,STARLINK-31887,STARLINK-31925,2258.42,1.84
2025-07-27 13:37:37+00:00,STARLINK-32821,STARLINK-32839,4622.34,5.03
2025-07-27 13:38:03+00:00,STARLINK-33970,STARLINK-34145,4279.61,4.78
2025-07-27 13:46:36+00:00,STARLINK-31887,STARLINK-31925,3096.00,2.77
2025-07-27 13:47:37+00:00,STARLINK-32821,STARLINK-32839,4059.21,4.77
2025-07-27 13:48:03+00:00,STARLINK-33970,STARLINK-34145,4495.39,4.97
2025-07-27 13:56:36+00:00,STARLINK-31887,STARLINK-31925,3893.42,3.71
2025-07-27 13:57:37+00:00,STARLINK-32821,STARLINK-32839,3438.80,4.42
2025-07-27 13:58:03+00:00,STARLINK-33970,STARLINK-34145,4659.99,5.14
2025-07-27 14:06:36+00:00,STARLINK-31887,STARLINK-31925,4651.82,4.63
2025-07-27 14:07:37+00:00,STARLINK-32821,STARLINK-32839,3025.69,4.10
2025-07-27 14:08:03+00:00,STARLINK-33970,STARLINK-34145,4745.04,5.28
2025-07-27 14:17:37+00:00,STARLINK-32821,STARLINK-32839,2972.24,3.91
2025-07-27 14:18:03+00:00,STARLINK-33970,STARLINK-34145,4795.01,5.38
2025-07-27 14:27:37+00:00,STARLINK-32821,STARLINK-32839,3238.43,3.93
2025-07-27 14:28:03+00:00,STARLINK-33970,STARLINK-34145,4865.00,5.49
2025-07-27 14:37:37+00:00,STARLINK-32821,STARLINK-32839,3660.67,4.11
2025-07-27 14:38:03+00:00,STARLINK-33970,STARLINK-34145,4962.59,5.61
2025-07-27 14:47:37+00:00,STARLINK-32821,STARLINK-32839,4072.42,4.33
2025-07-27 14:57:37+00:00,STARLINK-32821,STARLINK-32839,4324.14,4.48
2025-07-27 15:07:37+00:00,STARLINK-32821,STARLINK-32839,4274.94,4.47
2025-07-27 15:17:37+00:00,STARLINK-32821,STARLINK-32839,3875.33,4.31
2025-07-27 15:27:37+00:00,STARLINK-32821,STARLINK-32839,3261.76,4.01
2025-07-27 15:37:37+00:00,STARLINK-32821,STARLINK-32839,2693.39,3.66
2025-07-27 15:47:37+00:00,STARLINK-32821,STARLINK-32839,2408.58,3.38
